FRT_FID	TEQ_NUMMER
638	23110200012
639	23110200036
640	23110200056
641	23110200076
642	23110200013
643	23110200037
644	23110200057
645	23110200077
646	23110200014
647	23110200038
648	23110200058
649	23110200078
650	23110200015
651	23110200039
652	23110200059
653	23110200079
654	23110200016
655	23110200040
656	23110200060
657	23110200080
658	23110200017
659	23110200041
660	24110200067
661	24110200053
662	24110200058
663	24110200048
664	24110200006
665	24110200036
666	24110200027
667	24110200051
668	24110200069
669	24110200057
670	24110200026
671	24110200033
672	24110200005
673	24110200011
674	24110200054
675	24110200060
676	24110200008
677	24110200065
678	24110200004
679	24110200032
680	24110200062
681	24110200039
682	24110200055
683	24110200024
684	24110200041
685	24110200037
686	24110200064
687	24110200014
688	24110200038
689	24110200018
690	24110200043
691	24110200063
692	24110200007
693	24110200061
694	24110200056
695	24110200025
696	24110200034
697	24110200031
698	24110200059
699	24110200040
700	24110200012
701	24110200030
702	24110200066
703	24110200003
704	24110200029
705	24110200035
706	24110200052
707	24110200068
708	24110200010
709	24110200042
710	24110200015
711	24110200017
712	24110200028
713	24110200050
714	24110200016
715	24110200019
716	24110200009
717	24110200013
719	21110200007
720	21110200012
721	21110200046
722	21110200014
723	21110200013
724	21110200039
725	21110200061
726	21110200049
727	21110200048
728	21110200021
729	21110200016
730	21110200026
731	21110200063
732	21110200031
733	21110200052
734	21110200053
735	21110200006
736	21110200028
737	21110200040
738	21110200017
739	21110200004
740	21110200055
741	21110200002
742	21110200008
743	21110200009
744	21110200057
745	21110200060
746	21110200034
747	21110200033
748	21110200037
749	21110200032
750	21110200020
751	21110200047
752	21110200041
753	21110200059
754	21110200035
755	21110200029
756	21110200027
757	21110200019
758	21110200045
759	21110200058
760	21110200051
761	21110200018
762	21110200015
763	21110200011
764	21110200042
765	21110200010
766	21110200036
767	21110200025
768	21110200005
769	21110200062
770	21110200050
771	21110200030
772	21110200054
773	21110200003
774	21110200056
775	21110200038
776	46110200046
777	46110200018
778	46110200065
779	46110200083
780	46110200027
781	46110200084
782	46110200081
783	46110200003
784	46110200066
785	46110200082
786	46110200025
787	46110200023
788	46110200024
789	46110200085
790	46110200026
791	46110200047
792	46110200067
793	46110200004
794	46110200028
795	46110200048
796	46110200068
797	46110200005
798	46110200029
799	46110200049
800	46110200069
801	46110200006
802	46110200030
803	46110200050
804	46110200070
805	46110200007
806	46110200031
807	46110200051
808	46110200071
809	46110200008
810	46110200032
811	46110200052
812	46110200072
813	46110200009
814	46110200033
815	46110200053
816	46110200073
817	46110200010
818	46110200034
819	46110200054
820	46110200074
821	46110200011
822	46110200035
823	46110200055
824	46110200075
825	46110200012
826	46110200036
827	46110200056
828	46110200076
829	46110200013
830	46110200037
831	46110200057
832	46110200077
833	46110200014
834	46110200038
835	46110200058
836	46110200078
837	46110200015
838	46110200039
839	46110200059
840	46110200079
841	46110200016
842	46110200040
843	46110200060
844	46110200080
845	46110200017
846	46110200041
847	23110200045
848	23110200002
849	23110200064
850	23110200022
851	24110200023
852	24110200047
854	46110200022
855	46110200002
856	46110200064
857	46110200045
858	23110200061
859	23110200019
860	23110200042
861	23110200086
862	24110200044
863	24110200070
864	24110200020
865	21110200022
866	46110200086
867	46110200042
868	46110200019
869	46110200061
870	23101100015
871	23101100042
872	23101100010
873	23101100006
874	23101100026
875	23101100012
876	23101100030
877	23101100063
878	23101100017
879	23101100049
880	23101100018
881	23101100048
882	23101100065
883	23101100016
884	23101100034
885	23101100005
886	23101100066
887	23101100033
888	23101100003
889	23101100054
890	23101100029
891	23101100032
892	23101100023
893	23101100027
894	23101100057
895	23101100044
896	23101100043
897	23101100035
898	23101100051
899	23101100009
900	23101100053
901	23101100038
902	23101100002
903	23101100011
904	23101100041
905	23101100060
906	23101100022
907	23101100037
908	23101100056
909	23101100061
910	23101100040
911	23101100025
912	23101100045
913	23101100007
914	23101100019
915	23101100028
916	23101100004
917	23101100052
918	23101100055
919	23101100014
920	23101100050
921	23101100020
922	23101100008
923	23101100059
924	23101100021
925	23101100013
926	23101100031
927	23101100067
928	23101100039
929	23101100036
930	23101100024
931	23101100064
932	23101100058
933	24101100014
934	24101100036
935	24101100031
936	24101100017
937	24101100022
938	24101100026
939	24101100023
940	24101100027
941	24101100039
942	24101100042
943	24101100012
944	24101100032
945	24101100028
946	24101100041
947	24101100030
948	24101100006
949	24101100038
950	24101100007
951	24101100018
952	24101100033
953	24101100015
954	24101100019
955	24101100044
956	24101100021
957	24101100013
958	24101100034
959	24101100008
960	24101100024
961	24101100016
962	24101100025
963	24101100011
964	24101100043
965	24101100040
966	24101100035
967	24101100005
968	24101100003
969	24101100009
970	24101100037
971	24101100029
972	24101100002
973	24101100010
974	24101100004
975	24101100020
976	46101100036
977	46101100024
978	46101100064
979	46101100013
980	46101100019
