route_id,trip_id,service_id
110,1305,21
110,1306,21
110,1307,21
110,1308,21
110,1309,21
1001,131,46
110,1310,21
110,1311,46
110,1312,46
110,1313,46
110,1314,46
110,1315,46
110,1316,46
110,1317,46
110,1318,46
110,1319,46
1001,132,46
110,1320,46
110,1321,46
110,1322,46
110,1323,46
110,1324,46
110,1325,46
110,1326,46
110,1327,46
110,1328,46
110,1329,46
1001,133,46
110,1330,46
110,1331,46
110,1332,46
110,1333,46
110,1334,46
110,1335,46
110,1336,46
110,1337,46
110,1338,46
110,1339,46
1001,134,46
110,1340,46
110,1341,46
110,1342,46
110,1343,46
110,1344,46
110,1345,46
110,1346,46
110,1347,46
110,1348,46
110,1349,46
1001,135,46
110,1350,46
110,1351,46
110,1352,46
110,1353,46
110,1354,46
110,1355,46
110,1356,46
110,1357,23
110,1358,23
110,1359,23
1001,136,46
110,1360,46
110,1361,46
110,1362,46
110,1363,24
110,1364,24
110,1365,24
110,1366,24
110,1367,24
110,1368,24
110,1369,24
1001,137,46
110,1370,24
110,1371,24
110,1372,24
110,1373,24
110,1374,24
110,1375,24
110,1376,24
110,1377,24
110,1378,24
110,1379,24
1001,138,46
110,1380,24
110,1381,24
110,1382,24
110,1383,24
110,1384,24
110,1385,24
110,1386,24
110,1387,24
110,1388,24
110,1389,24
1001,139,46
110,1390,24
110,1391,24
110,1392,24
110,1393,24
110,1394,24
110,1395,24
110,1396,24
110,1397,24
110,1398,24
110,1399,24
1001,14,23
1001,140,46
110,1400,24
110,1401,24
110,1402,24
110,1403,24
110,1404,24
110,1405,24
110,1406,24
110,1407,24
110,1408,24
110,1409,24
1001,141,46
110,1410,24
110,1411,24
110,1412,24
110,1413,24
110,1414,24
110,1415,24
110,1416,24
110,1417,24
110,1418,24
110,1419,24
1001,142,46
110,1420,24
110,1421,24
110,1422,24
110,1423,23
110,1424,23
110,1425,23
110,1426,23
110,1427,23
110,1428,23
110,1429,23
1001,143,46
110,1430,23
110,1431,23
110,1432,23
110,1433,23
110,1434,23
110,1435,23
110,1436,23
110,1437,23
110,1438,23
110,1439,23
1001,144,46
110,1440,23
110,1441,23
110,1442,23
110,1443,23
110,1444,23
110,1445,23
110,1446,23
110,1447,23
110,1448,23
110,1449,23
1001,145,46
110,1450,23
110,1451,23
110,1452,23
110,1453,23
110,1454,23
110,1455,23
110,1456,23
110,1457,23
110,1458,23
110,1459,23
1001,146,46
110,1460,23
110,1461,23
110,1462,23
110,1463,23
110,1464,23
110,1465,23
110,1466,23
110,1467,23
110,1468,23
110,1469,21
1001,147,46
110,1470,21
110,1471,21
110,1472,21
110,1473,21
110,1474,21
110,1475,21
110,1476,21
110,1477,21
110,1478,21
110,1479,21
1001,148,46
110,1480,21
110,1481,21
110,1482,21
110,1483,21
110,1484,21
110,1485,21
110,1486,21
110,1487,21
110,1488,21
110,1489,21
1001,149,46
110,1490,21
110,1491,21
110,1492,21
110,1493,21
110,1494,21
110,1495,21
110,1496,21
110,1497,21
110,1498,21
110,1499,21
1001,15,23
1001,150,46
110,1500,21
110,1501,46
110,1502,46
110,1503,46
110,1504,46
110,1505,46
110,1506,46
110,1507,46
110,1508,46
110,1509,46
1001,151,46
110,1510,46
110,1511,46
110,1512,46
110,1513,46
110,1514,46
110,1515,46
110,1516,46
110,1517,46
110,1518,46
110,1519,46
1001,152,46
110,1520,46
110,1521,46
110,1522,46
110,1523,46
110,1524,46
110,1525,46
110,1526,46
110,1527,46
110,1528,46
110,1529,46
1001,153,46
110,1530,46
110,1531,46
110,1532,46
110,1533,46
110,1534,46
110,1535,46
110,1536,46
110,1537,46
110,1538,46
110,1539,46
1001,154,46
110,1540,46
110,1541,46
110,1542,46
110,1543,46
110,1544,46
110,1545,46
110,1546,46
110,1547,23
110,1548,23
110,1549,21
1001,155,46
110,1550,21
110,1551,21
110,1552,46
110,1553,46
110,1554,23
110,1555,46
110,1556,23
110,1557,46
110,1558,24
110,1559,24
1001,156,46
110,1560,24
110,1561,24
110,1562,24
110,1563,24
110,1564,24
110,1565,24
110,1566,24
110,1567,24
110,1568,24
110,1569,24
1001,157,46
110,1570,24
110,1571,24
110,1572,24
110,1573,24
110,1574,24
110,1575,24
110,1576,24
110,1577,24
110,1578,24
110,1579,24
1001,158,46
110,1580,24
110,1581,24
110,1582,24
110,1583,24
110,1584,24
110,1585,24
110,1586,24
110,1587,24
110,1588,24
110,1589,24
1001,159,46
110,1590,24
110,1591,24
110,1592,24
110,1593,24
110,1594,24
110,1595,24
110,1596,24
110,1597,24
110,1598,24
110,1599,24
1001,16,23
1001,160,46
110,1600,24
110,1601,24
110,1602,24
110,1603,24
110,1604,24
110,1605,24
110,1606,24
110,1607,24
110,1608,24
110,1609,24
1001,161,46
110,1610,24
110,1611,24
110,1612,24
110,1613,24
110,1614,24
110,1615,24
110,1616,24
110,1617,24
110,1618,24
110,1619,24
1001,162,46
110,1620,24
110,1621,24
110,1622,24
110,1623,24
110,1624,24
110,1625,24
1003,1626,23
1003,1627,23
1003,1628,23
1003,1629,23
1001,163,23
1003,1630,23
1003,1631,23
1003,1632,23
1003,1633,23
1003,1634,23
1003,1635,23
1003,1636,23
1003,1637,23
1003,1638,23
1003,1639,23
1001,164,23
1003,1640,23
1003,1641,23
1003,1642,23
1003,1643,23
1003,1644,23
1003,1645,23
1003,1646,23
1003,1647,23
1003,1648,23
1003,1649,23
1001,165,23
1003,1650,23
1003,1651,23
1003,1652,23
1003,1653,23
1003,1654,23
1003,1655,23
1003,1656,23
1003,1657,23
1003,1658,23
1003,1659,23
1001,166,23
1003,1660,23
1003,1661,23
1003,1662,23
1003,1663,23
1003,1664,23
1003,1665,23
1003,1666,23
1003,1667,23
1003,1668,23
1003,1669,23
1001,167,23
1003,1670,23
1003,1671,23
1003,1672,23
1003,1673,23
1003,1674,23
1003,1675,23
1003,1676,23
1003,1677,23
1003,1678,23
1003,1679,23
1001,168,23
1003,1680,23
1003,1681,23
1003,1682,23
1003,1683,23
1003,1684,23
1003,1685,23
1003,1686,23
1003,1687,23
1003,1688,23
1003,1689,23
1001,169,23
1003,1690,23
1003,1691,23
1003,1692,23
1003,1693,23
1003,1694,23
1003,1695,23
1003,1696,23
1003,1697,21
1003,1698,21
1003,1699,21
1001,17,23
1001,170,23
1003,1700,21
1003,1701,21
1003,1702,21
1003,1703,21
1003,1704,21
1003,1705,21
1003,1706,21
1003,1707,21
1003,1708,21
1003,1709,21
1001,171,23
1003,1710,21
1003,1711,21
1003,1712,21
1003,1713,21
1003,1714,21
1003,1715,21
1003,1716,21
1003,1717,21
1003,1718,21
1003,1719,21
1001,172,23
1003,1720,21
1003,1721,21
1003,1722,21
1003,1723,21
1003,1724,46
1003,1725,46
1003,1726,46
1003,1727,46
1003,1728,46
1003,1729,46
1001,173,23
1003,1730,46
1003,1731,46
1003,1732,46
1003,1733,46
1003,1734,46
1003,1735,46
1003,1736,46
