"stop_id","stop_name","stop_lat","stop_lon","stop_code","stop_desc","zone_id","wheelchair_boarding"
5050,"Passo Cereda Civ 9",46.192636,11.902743,"5143NO",,"5143",
5051,"Samoclevo-Bivio",46.365038,10.937469,"6281BV",,"6280",
5053,"Termon Nord",46.270225,11.036677,"6147ND",,"6151",
5055,"Ragoli 'Macelleria'",46.051814,10.775663,"2250MA",,"2240",
5056,"Ziano di Fiemme",46.286801,11.559854,"1210DR",,"1210",
5057,"Ragoli 'Croce'",46.054826,10.78159,"2250CC",,"2240",
5063,"Coredo Via Tavon 42",46.35361,11.088088,"6501TA",,"6501",
5064,"Coredo Via Trento",46.347117,11.08684,"6501TN",,"6501",
5065,"Lavarone Civ. 61",45.939296,11.273852,"3870AC",,"3870",
5067,"Andalo-Bivio Priori",46.177371,11.017827,"6137BP",,"6137",
5073,"Scanna Civ. 51",46.39474,11.02458,"6705SC",,"6705",
5075,"Castelfondo Via Dante",46.452673,11.121797,"6686DA",,"6686",
5077,"S.Michele 'Fondazione-Mensa'",46.194907,11.135489,"0954IM",,"6110",
5080,"Cogolo Polo Scolastico",46.347399,10.69684,"6405SE",,"6405",
5082,"Strigno Via Colle Civ. 6",46.06717,11.519093,"4520CL",,"4520",
5087,"Mezz.Do Via Perlasca 'Martini'",46.217566,11.093386,"6120MA",,"6120",
5088,"Sabbionara Via De Gasperi",45.738765,10.952482,"3357DG",,"3349",
5090,"Gionghi-Polo Scolastico",45.940038,11.268658,"3851SC",,"3851",
5091,"Tobia-Gionghi",45.940362,11.262788,"3850TO",,"3851",
5092,"Volano-Loc.Fornaci",45.919376,11.085283,"3070FO",,"3070",
5095,"Loc.Piaggi Bassi",45.800465,10.976077,"3416PI",,"3405",
5102,"Molveno Deposito",46.149626,10.980086,"0956DP",,"0956",
5103,"Levico T. Polo Scolastico",46.013611,11.3063,"4300PS",,"4300",
5105,"Fucine Scuola Media",46.311138,10.732825,"6401SM",,"6401",
5111,"Loc. Coveli Civ. 35",46.197724,11.14366,"6095CL",,"6095",
5113,"Fondo-Via Iv Novembre",46.441452,11.130891,"6580NO",,"6580",
5116,"Cavareno Via Roen 32",46.403499,11.139586,"6560RN",,"6560",
5123,"Strigno Via Colle Civ. 6",46.06713,11.519259,"4520LC",,"4520",
5126,"Storo-Scuola Media",45.849333,10.575288,"2314SM",,"2314",
5131,"Spiazzo Rend. Colarin Civ. 147",46.10917,10.746099,"2400CO",,"2400",
5133,"Transacqua-Via Delle Fonti",46.172998,11.8293,"5146FO",,"5140",
